image_name,mean,max,min
img_0237,1570.5,2189,886
img_0238,1211.3,1703,924
img_0239,1292.8,2919,550
img_0240,1366.1,3118,822
img_0241,972.5,1665,766
img_0242,1005.6,1535,727
img_0243,1478.5,4473,839
img_0244,1203.3,1966,751
img_0245,1798.5,8552,526
img_0246,944.5,1323,711
img_0247,1276.3,1783,992
img_0248,1091.1,1816,654
img_0249,1206.4,1695,750
img_0250,4052.6,24856,726
img_0251,1233.9,2488,785
img_0252,1709.4,7133,823
img_0253,1589.3,3290,1166
img_0254,1352.4444444444443,2407,854
img_0255,1411.6,2422,823
img_0256,1139.8,1799,775
img_0257,1743.8,2566,1151
img_0258,1027.1,1402,704
img_0259,1418.4,2293,983
img_0260,1062.9,1934,655
img_0261,1269.7,1909,707
img_0262,2408.1,13056,903
img_0263,1338.4,2555,855
img_0264,1234.6,1639,903
img_0265,1113.9,2720,758
img_0266,1425.9,2847,974
img_0267,1345.6,1918,807
img_0268,993.0,1349,685
img_0269,1483.8,3943,758
img_0270,1018.9,1577,622
img_0271,1396.9,4401,718
img_0272,960.8,1446,637
img_0273,1340.4,2935,718
img_0274,1137.5,2890,679
img_0275,1517.9,4585,758
img_0276,1293.3,1797,862
img_0277,1124.1,2350,718
img_0278,2253.9,12541,671
img_0279,1309.9,2790,904
img_0280,1259.5,2079,742
img_0281,1175.5,1615,751
img_0282,1159.4,2239,759
img_0283,806.0,1047,567
img_0284,1328.2,2489,551
img_0285,1197.0,1697,855
img_0286,1757.2,7104,843
img_0287,1448.4,2062,1070
img_0288,1137.6,1302,831
img_0289,1199.6,2461,719
img_0290,1324.3,3148,854
img_0291,1256.1,3044,678
img_0292,908.7,1021,735
img_0293,1241.4,1822,766
img_0294,1167.5,2303,814
img_0295,1206.3,4013,719
img_0296,1195.6,1974,783
img_0297,1150.1,2487,687
img_0298,1581.6,4742,749
img_0299,1178.7,1359,935
img_0300,1420.0,2798,878
img_0301,1489.7,2854,958
img_0302,933.6,1303,718
img_0303,2115.8,3889,1084
img_0304,966.8,1443,650
img_0305,953.0,1295,773
img_0306,1227.5,1470,967
img_0307,893.3,1166,702
img_0308,1004.6,1230,743
img_0309,1289.3,2077,719
img_0310,972.3,1150,758
img_0311,1117.4,1792,807
img_0312,1016.6,1654,743
img_0313,1276.1,1615,701
